LISA_P,LISA_CL,LISA_I,MORAN_LAG,MORAN_STD,OBJECTID,NAME
0.19,0,0.6830809,0.3751156,1.820988,2388,石家庄市
0.38,0,-0.0018192,0.005667,-0.3210132,2389,秦皇岛市
0.27,0,0.3072645,0.2194658,1.4000563,2390,邯郸市
0.03,1,0.5399103,0.7034415,0.7675269,2391,邢台市
0.04,1,2.1940696,0.8136951,2.6964273,2392,保定市
0.05,3,-0.1517285,0.8638859,-0.1756349,2393,张家口市
0.03,3,-0.3290568,0.9422877,-0.3492106,2394,承德市
0.03,1,0.8941727,1.1289505,0.7920389,2395,沧州市
0.01,1,0.2337686,2.860047,0.0817359,2396,廊坊市
0.02,1,0.0069544,1.3507408,0.0051486,2397,衡水市
0.21,0,-0.1416129,-0.3421567,0.4138831,2398,太原市
0.27,0,-0.0546087,0.179378,-0.3044335,2399,大同市
0.12,0,-0.3445464,0.4468706,-0.7710206,2400,阳泉市
0.19,0,-0.0086467,0.3225602,-0.0268066,2401,长治市
0.24,0,0.2736875,-0.3579102,-0.764682,2402,朔州市
0.28,0,-0.056252,0.20136,-0.2793601,2403,忻州市
0.42,0,0.0160609,-0.1069178,-0.1502174,2404,吕梁市
0.1,0,-0.0764901,0.4552204,-0.1680287,2405,晋中市
0.33,0,-0.2734117,-0.2809297,0.9732389,2406,大连市
0.47,0,0.0324913,-0.0469449,-0.6921151,2407,本溪市
0.33,0,0.0586854,-0.131785,-0.4453115,2408,丹东市
0.32,0,-0.02726,0.0757023,-0.3600947,2409,营口市
0.23,0,-0.1848693,0.2932295,-0.6304595,2410,阜新市
0.44,0,0.1364823,-0.1925678,-0.7087492,2411,盘锦市
0.22,0,0.0768865,-0.2575194,-0.2985658,2412,朝阳市
0.1,0,1.2880915,0.7163638,1.7980969,2413,长春市
0.17,0,0.0953968,0.2970721,0.3211235,2414,吉林市
0.37,0,-0.0136275,0.1294997,-0.1052321,2415,四平市
0.34,0,0.1660384,-0.2130593,-0.7793059,2416,辽源市
0.09,0,0.1734122,-0.4966867,-0.3491381,2417,通化市
0.4,0,0.142145,-0.1785083,-0.7962931,2418,白山市
0.09,0,-0.1045581,0.6175049,-0.1693235,2419,松原市
0.46,0,0.0446589,-0.0930006,-0.4802005,2420,白城市
0.14,0,-0.264477,0.5211263,-0.5075104,2421,延边朝鲜族自治州
0.48,0,-0.0689384,-0.0244559,2.8188874,2422,哈尔滨市
0.33,0,-0.1485944,-0.2397339,0.6198305,2423,齐齐哈尔市
0.06,0,0.3795581,-0.6463027,-0.5872761,2424,鸡西市
0.2,0,0.4986253,-0.5472665,-0.9111198,2425,鹤岗市
0.08,0,-0.2021108,0.730271,-0.2767613,2426,大庆市
0.16,0,-0.331113,0.3815821,-0.8677372,2427,伊春市
0.25,0,-0.1808734,0.1969013,-0.9185993,2428,七台河市
0.34,0,-0.0521991,0.2013754,-0.2592127,2429,牡丹江市
0.37,0,0.0941848,-0.1482706,-0.6352224,2430,黑河市
0.22,0,0.2860645,0.3317994,0.8621609,2431,绥化市
0.17,0,0.3103121,0.3508874,0.8843639,2432,无锡市
0.07,0,0.0962257,0.5200388,0.1850356,2433,常州市
0.03,1,0.3297614,1.0730735,0.3073055,2434,南通市
0.1,0,-0.0109546,0.5949503,-0.0184126,2435,连云港市
0.31,0,0.0324474,0.2160527,0.1501828,2436,淮安市
0.32,0,0.1058565,0.1300626,0.8138886,2437,盐城市
0.06,0,0.0239637,0.6552926,0.0365695,2438,泰州市
0.26,0,0.0412297,0.1840396,0.2240265,2439,宿迁市
0.41,0,0.1109064,-0.2666016,-0.4160004,2440,葫芦岛市
0.12,0,0.0864543,0.4949648,0.1746676,2441,扬州市
0.04,3,-0.0965007,0.6565758,-0.1469757,2442,镇江市
0.48,0,-0.012306,0.0357908,-0.3438319,2443,铁岭市
0.48,0,0.0544596,-0.0925841,-0.5882178,2444,抚顺市
0.12,0,0.4395765,-0.577557,-0.7610963,2445,双鸭山市
0.44,0,0.0290147,-0.127933,-0.2267957,2446,佳木斯市
0.4,0,-0.0022793,0.0609715,-0.0373828,2447,鞍山市
0.31,0,-0.0728804,0.1316653,-0.553528,2448,辽阳市
0.08,0,-0.6541138,-0.3844402,1.7014707,2449,沈阳市
0.46,0,0.0117053,-0.0649478,-0.1802258,2450,锦州市
0.49,0,-0.0286558,-0.0961469,0.2980423,2451,运城市
0.07,0,0.9822982,0.90414,1.0864447,2452,唐山市
0.38,0,-0.0205917,-0.1099084,0.1873537,2453,临汾市
0.01,1,5.1502295,1.1271923,4.5690778,2454,北京市
0.02,1,4.1810065,1.2360174,3.3826439,2455,天津市
0.05,1,10.2698978,1.1939188,8.6018396,2456,上海市
0.29,0,0.494593,-0.4773074,-1.0362149,2457,大兴安岭地区
0.12,0,0.4356779,0.4192709,1.0391323,2458,徐州市
0.43,0,-0.3194173,-0.1432345,2.2300304,2459,南京市
0.01,1,3.7177793,1.5695029,2.3687623,2460,苏州市
0.12,0,0.1219343,-0.4708466,-0.2589682,2461,包头市
0.16,0,-0.0556774,-0.3865557,0.1440345,2462,赤峰市
0.36,0,0.1270103,-0.2156418,-0.5889875,2463,兴安盟
0.3,0,0.0080602,-0.1619781,-0.0497611,2464,通辽市
0.29,0,0.226234,-0.2665699,-0.8486855,2465,锡林郭勒盟
0.09,0,0.3677478,-0.5998958,-0.6130195,2466,巴彦淖尔市
0.17,0,-0.0055298,0.3300261,-0.0167555,2467,株洲市
0.37,0,-0.0227371,0.0444099,-0.5119836,2468,梅州市
0.38,0,0.130919,-0.2407631,-0.5437667,2469,汕尾市
0.41,0,0.0940472,-0.1868209,-0.5034085,2470,阳江市
0.15,0,-0.3714365,0.4973659,-0.7468074,2471,中山市
0.25,0,-0.0690051,0.1492592,-0.4623168,2472,潮州市
0.44,0,0.0045956,0.0130433,0.3523362,2473,桂林市
0.43,0,0.0025783,-0.014604,-0.1765494,2474,贵港市
0.38,0,0.0010998,0.0489628,0.0224618,2475,河池市
0.21,0,-0.7181724,0.7301025,-0.9836596,2476,三亚市
0.24,0,-0.1134488,-0.2486048,0.4563421,2477,绵阳市
0.41,0,-0.0025476,0.0068401,-0.3724457,2478,广元市
0.08,0,-0.1974361,0.6075006,-0.3249974,2479,遂宁市
0.31,0,0.035402,-0.2059946,-0.1718589,2480,乐山市
0.43,0,0.0092214,0.0485692,0.1898619,2481,宜宾市
0.18,0,0.094192,0.4092515,0.2301568,2482,达州市
0.36,0,-0.0080394,0.0302446,-0.2658138,2483,巴中市
